[132233800 dsm.cpp   410   183 0000795C] TWAIN Working Group
[132233801 dsm.cpp   411   183 0000795C] TWAIN 32 Source Manager (Image Acquisition Interface)
[132233802 dsm.cpp   412   183 0000795C] version: 2, 4, 2, 0
[132233803 dsm.cpp  2382   183 0000795C] TWAIN Sharp Test App -> DSM
[132233804 dsm.cpp  2391   183 0000795C] DG_CONTROL/DAT_PARENT/MSG_OPENDSM
[132233805 apps.cpp  383   183 0000795C]   Application: "TWAIN Working Group"
[132233805 apps.cpp  384   183 0000795C]                "TWAIN Sharp"
[132233806 apps.cpp  385   183 0000795C]                "TWAIN Sharp Test App" version: 1.0
[132233807 apps.cpp  386   183 0000795C]                TWAIN 2.4
[132233808 apps.cpp 1590   127 0000795C]   We're deliberately skipping this file: C:\WINDOWS\twain_32\wiatwain.ds
[132233809 apps.cpp  680   127 0000795C]   Condition Code: DS or DSM reported error, application shouldn't display an error
[132233816 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_e1000\kds.ds (TWAINDSM_USEAPPID:1)
[132233845 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i1100\kds.ds (TWAINDSM_USEAPPID:1)
[132233861 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i11xx\kds.ds (TWAINDSM_USEAPPID:1)
[132233896 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i11xxwn\kds.ds (TWAINDSM_USEAPPID:1)
[132233932 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i1200\kds.ds (TWAINDSM_USEAPPID:1)
[132233945 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i1300\kds.ds (TWAINDSM_USEAPPID:1)
[132233959 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i1400\kds.ds (TWAINDSM_USEAPPID:1)
[132233975 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i2000\kds.ds (TWAINDSM_USEAPPID:1)
[132234003 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i2900\kds.ds (TWAINDSM_USEAPPID:1)
[132234017 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i3000\kds.ds (TWAINDSM_USEAPPID:1)
[132234078 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i4200_i4600\kds.ds (TWAINDSM_USEAPPID:1)
[132234093 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i4x50\kds.ds (TWAINDSM_USEAPPID:1)
[132234107 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i5000\kds.ds (TWAINDSM_USEAPPID:1)
[132234140 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_i900\kds.ds (TWAINDSM_USEAPPID:1)
[132234168 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_pss\kds.ds (TWAINDSM_USEAPPID:1)
[132234182 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_s2000\kds.ds (TWAINDSM_USEAPPID:1)
[132234218 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\Kodak\kds_s2000w\kds.ds (TWAINDSM_USEAPPID:1)
[132234264 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\pantum\pntm_ds200\kds.ds (TWAINDSM_USEAPPID:1)
[132234297 apps.cpp 1647   203 0000795C]   Loaded library: C:\WINDOWS\twain_32\sample2\TWAINDS_Sample32.ds (TWAINDSM_USEAPPID:1)
